Istilah,Definisi
Hipertensi,Kondisi tekanan darah tinggi yang dapat meningkatkan risiko penyakit jantung dan stroke
Diabetes,Kelainan metabolik di mana tubuh tidak dapat mengatur gula darah dengan baik
Asma,Gangguan pernapasan kronis yang menyebabkan saluran napas menyempit
Anemia,Kekurangan sel darah merah atau hemoglobin dalam darah
Arthritis,Peradangan pada sendi yang menyebabkan nyeri dan pembengkakan
Bronkitis,Peradangan pada saluran udara utama dari paru-paru
Demam,Suhu tubuh yang meningkat di atas normal sebagai respons terhadap infeksi atau penyakit
Dehidrasi,Kekurangan cairan tubuh yang terjadi saat tubuh kehilangan lebih banyak cairan daripada yang dikonsumsi
Gastritis,Peradangan pada lapisan perut
Hipotensi,Tekanan darah rendah yang dapat menyebabkan pusing dan lemas
Migrain,Jenis sakit kepala yang intens dengan gejala tambahan seperti mual dan sensitivitas terhadap cahaya
Osteoporosis,Penyakit tulang yang menyebabkan penurunan kepadatan tulang
Pneumonia,Infeksi paru-paru yang menyebabkan kantung udara mengisi cairan atau nanah
Vertigo,Sensasi berputar atau pusing yang membuat Anda merasa seolah dunia bergerak
Tinitus,Suara berdenging atau berdesis di telinga
Alergi,Reaksi sistem kekebalan tubuh terhadap zat yang biasanya tidak berbahaya
Infeksi,Ketika mikroorganisme merugikan memasuki tubuh dan berkembang biak
Influenza,Infeksi virus yang menyerang sistem pernapasan
Sakit kepala,Nyeri yang terjadi di area kepala atau leher
Nyeri dada,Sensasi tidak nyaman di dada yang bisa disebabkan oleh berbagai kondisi
Sesak napas,Kesulitan bernapas atau merasa tidak bisa mendapatkan cukup udara
Jantung berdebar-debar,Sensasi detak jantung yang cepat, tidak teratur, atau keras
Mual,Perasaan tidak enak di perut yang sering kali mendahului muntah
Muntah,Proses mengeluarkan isi perut melalui mulut
Diare,Buang air besar yang lembek atau cair lebih dari tiga kali sehari
Sembelit,Kesulitan buang air besar atau frekuensi yang kurang dari biasanya
Batuk,Refleks untuk membersihkan tenggorokan atau saluran napas dari iritan
Pilek,Infeksi virus ringan pada saluran pernapasan atas
Flu,Infeksi virus yang menyerang hidung, tenggorokan, dan paru-paru
Pusing,Sensasi tidak seimbang atau seolah akan pingsan
Sakit perut,Nyeri yang terjadi di area perut
Kram,Kejang otot yang menyakitkan yang terjadi secara tiba-tiba
Lemas,Kekurangan energi atau kekuatan fisik
Kelelahan,Rasa lelah yang berkepanjangan dan tidak hilang dengan istirahat
Demam tinggi,Suhu tubuh yang jauh di atas normal (biasanya di atas 38Â°C)
Hiperglikemia,Tingginya kadar gula darah
Hipoglikemia,Rendahnya kadar gula darah
Kolesterol tinggi,Kadar kolesterol dalam darah yang melebihi batas normal
Asam urat,Kondisi yang menyebabkan nyeri sendi akibat penumpukan kristal asam urat
Rematik,Peradangan pada sendi, otot, atau jaringan ikat
Stroke,Kondisi darurat medis ketika aliran darah ke bagian otak terganggu
Serangan jantung,Kerusakan otot jantung akibat aliran darah yang terhenti
Aritmia,Gangguan irama jantung yang bisa terlalu cepat, lambat, atau tidak teratur
Gagal jantung,Kondisi di mana jantung tidak bisa memompa darah sebagaimana mestinya
Emfisema,Gangguan paru-paru yang merusak kantung udara di paru-paru
PPOK,Penyakit Paru Obstruktif Kronik, kumpulan penyakit yang menyebabkan aliran udara terhambat
TBC (Tuberkulosis),Infeksi bakteri yang terutama menyerang paru-paru
Hepatitis,Peradangan hati yang bisa disebabkan oleh virus atau faktor lain
Sirosis,Kerusakan hati progresif yang menyebabkan jaringan parut
Pankreatitis,Peradangan pankreas
Gagal ginjal,Kondisi di mana ginjal tidak bisa menyaring limbah dari darah dengan baik
Batu ginjal,Benda keras yang terbentuk dari kristal dalam ginjal
Infeksi saluran kemih,Infeksi yang terjadi di bagian manapun dari sistem kemih
Batu empedu,Batu yang terbentuk di kantung empedu dari kolesterol dan zat lain
Tifus,Infeksi bakteri yang menyebabkan demam tinggi, sakit perut, dan ruam
Malaria,Infeksi parasit yang ditularkan melalui gigitan nyamuk
HIV,Human Immunodeficiency Virus, virus yang menyerang sistem kekebalan tubuh
AIDS,Tahap akhir infeksi HIV yang menyebabkan kerusakan sistem kekebalan tubuh
TBC paru,Tuberkulosis yang menyerang paru-paru
Leukemia,Kanker yang mempengaruhi darah dan sumsum tulang
Linfoma,Kanker yang berasal dari sistem limfatik
Kanker payudara,Kanker yang berkembang di jaringan payudara
Kanker paru,Kanker yang dimulai di paru-paru
Kanker usus,Kanker yang berkembang di usus besar atau rektum
Kanker hati,Kanker yang berasal dari sel-sel hati
Kanker prostat,Kanker yang berkembang di kelenjar prostat pria
Kanker serviks,Kanker yang berkembang di leher rahim
Epilepsi,Gangguan otak yang menyebabkan kejang berulang
Alzheimer,Penyakit otak progresif yang mempengaruhi memori dan berpikir
Parkinson,Gangguan sistem saraf yang mempengaruhi gerakan
Skizofrenia,Gangguan mental serius yang mempengaruhi cara berpikir, perasaan, dan perilaku
Depresi,Gangguan mood yang menyebabkan perasaan sedih dan kehilangan minat
Kecemasan,Gangguan mental yang ditandai dengan kekhawatiran berlebihan
Autisme,Gangguan perkembangan yang mempengaruhi komunikasi dan perilaku
ADHD,Gangguan perkembangan yang ditandai dengan kurangnya perhatian, hiperaktif, dan impulsif
Asperger,Gangguan perkembangan sosial dan komunikasi yang merupakan bagian dari spektrum autisme
Bipolar,Gangguan mood yang menyebabkan perubahan ekstrem dalam mood, energi, dan aktivitas
Anoreksia,Gangguan makan ditandai dengan takut berat badan dan menurunkan berat badan secara ekstrem
Bulimia,Gangguan makan yang melibatkan episode makan berlebihan diikuti perilaku pembersihan
OCD,Gangguan obsesif kompulsif, gangguan kecemasan dengan pikiran dan perilaku berulang
PTSD,Gangguan stres pascatrauma akibat pengalaman traumatis
Insomnia,Kesulitan tidur atau mempertahankan tidur
Sleep apnea,Gangguan tidur di mana pernapasan berhenti dan mulai secara berulang
Narkolepsi,Gangguan sistem saraf yang menyebabkan tidur di siang hari yang berlebihan
Apnea,Gangguan pernapasan yang ditandai dengan berhentinya pernapasan untuk sementara
Bradikardi,Detak jantung yang lebih lambat dari normal
Takikardi,Detak jantung yang lebih cepat dari normal
Anafilaksis,Reaksi alergi berat yang bisa mengancam jiwa
Sepsis,Respons sistem kekebalan tubuh yang berlebihan terhadap infeksi
Syok,Keadaan darurat medis ketika aliran darah ke organ vital berkurang
Koma,Keadaan tidak sadar yang dalam di mana seseorang tidak merespons lingkungan
Krisis hipertensi,Kenaikan tekanan darah yang sangat tinggi yang bisa menyebabkan kerusakan organ
Gagal napas,Ketidakmampuan paru-paru untuk bertukar oksigen dan karbon dioksida dengan baik
Edema,Pembengkakan yang disebabkan oleh penumpukan cairan di jaringan tubuh
Hipertermia,Suhu tubuh yang sangat tinggi akibat kegagalan mekanisme pengaturan suhu tubuh
Hipotermia,Suhu tubuh yang turun di bawah normal karena paparan dingin berkepanjangan